Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Valor de mercado,Vencimiento contrato,Partidos jugados,Minutos jugados,Goles,xG,Asistencias,xA,Duelos/90,"Duelos ganados, %",País de nacimiento,Pasaporte,Pie,Altura,Peso,En préstamo,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Centros desde la banda izquierda/90,"Precisión centros desde la banda izquierda, %",Centros desde la banda derecha/90,"Precisión centros desde la banda derecha, %",Centros al área pequeña/90,Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases cortos / medios /90,"Precisión pases cortos / medios, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90.1,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90.1,Tiros libres/90,Tiros libres directos/90,"Tiros libres directos, %",Córneres/90,Penaltis a favor,"Penaltis realizados, %",Temporada,pos_primaria,grupo,cluster,arquetipo,distancia_centroide,pureza_arquetipo,pca1,pca2
Ángel Rodríguez,Mallorca,Mallorca,CF,38,400000,2026-06-30,29,1655,3,4.53,2,0.64,21.48,34.43,Spain,Spain,derecho,171,65,no,4.51,5.27,46.39,3.48,25.0,0.38,0.49,0.11,1.69,2.17,2.18,5,0.27,0,0.0,1.79,0.16,3,0.16,0.25,0,0.0,25,1.36,32.0,12.0,0.11,0.65,33.33,0.27,60.0,0.38,14.29,0.05,2.07,44.74,6.42,40.68,2.61,1.09,0.71,8.27,1.41,1.14,13.49,75.4,3.05,57.14,3.32,88.52,4.02,77.03,11.8,79.26,1.03,57.89,15.92,15.13,0.03,0.49,0.0,0.0,0.44,50.0,0.27,1.69,77.42,1.14,61.9,0.33,66.67,0.49,0.22,1.09,80.0,0,,0,,0,0,0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,2021-22,CF,Delantero,0,Físico/Presor,1.6511186676054408,76.1,-2.051439793065823,0.9521839435491626
R. Nteka,Rayo Vallecano,Rayo Vallecano,"CF, AMF",28,1500000,2028-06-30,34,1633,3,3.72,0,0.6,31.41,37.19,France,"France, Angola",izquierdo,189,75,no,5.79,4.74,56.98,8.54,41.94,0.17,0.25,0.06,2.92,4.38,2.2,3,0.17,0,0.0,2.04,0.17,3,0.17,0.2,0,0.0,27,1.49,29.63,11.111,0.0,0.72,23.08,0.55,20.0,0.11,50.0,0.06,2.59,48.94,11.13,28.22,2.98,1.16,0.44,12.68,1.6,1.38,19.84,72.5,5.24,55.79,4.79,88.51,5.4,72.45,18.68,74.93,0.55,50.0,13.35,7.79,0.03,0.44,0.17,0.0,0.94,17.65,0.33,2.37,58.14,1.05,31.58,0.99,22.22,0.61,0.17,1.65,70.0,0,,0,,0,0,0,0.0,,,0.11,,,0.0,0.0,0.0,0.0,0,0.0,2021-22,CF,Delantero,0,Físico/Presor,1.3831485455153067,89.6,-2.2771817691270075,1.1423249989034432
V. Muriqi,Mallorca,Mallorca,CF,31,12000000,2029-06-30,16,1585,5,5.56,2,1.06,33.1,44.94,Kosovo,"Kosovo, Albania",izquierdo,194,92,no,3.75,1.82,50.0,15.73,47.65,0.11,0.15,0.06,2.73,3.56,1.53,6,0.34,0,0.0,1.82,0.28,3,0.17,0.32,2,0.11,48,2.73,35.42,10.417,0.11,0.57,40.0,0.28,40.0,0.28,40.0,0.0,1.31,43.48,7.15,41.27,3.35,0.79,0.4,13.06,2.73,0.91,19.65,65.9,4.88,51.16,4.37,92.21,5.85,61.17,18.4,67.28,0.79,42.86,14.92,30.84,0.06,0.51,0.0,0.0,0.51,11.11,0.23,2.33,39.02,1.7,33.33,0.45,0.0,0.57,0.23,1.93,67.65,0,,0,,0,0,0,0.0,,,0.06,,,0.0,0.0,0.0,0.0,2,100.0,2021-22,CF,Delantero,0,Físico/Presor,2.274491758155726,41.8,-0.4254480185186855,0.2193640530733941
A. Danjuma,Villarreal,Villarreal,"CF, LWF",29,13000000,2028-06-30,23,1584,10,12.12,3,1.92,15.28,42.38,Nigeria,"Nigeria, Netherlands",derecho,178,74,no,1.59,1.19,71.43,0.57,20.0,0.06,0.09,0.06,0.68,1.06,0.23,2,0.11,0,0.0,6.08,0.57,6,0.34,0.69,0,0.0,58,3.3,46.55,15.517,0.17,1.88,33.33,1.53,33.33,0.28,40.0,0.34,6.93,53.28,10.4,47.54,5.74,3.58,0.97,17.05,1.65,1.02,19.83,78.22,2.61,84.78,6.82,87.5,5.51,74.23,17.67,82.64,0.34,83.33,15.79,7.79,0.11,0.74,0.06,0.06,0.57,40.0,0.51,0.8,64.29,2.1,56.76,0.51,66.67,1.25,0.57,2.1,89.19,0,,0,,0,0,0,0.0,,,0.0,,,0.11,0.11,50.0,0.68,3,100.0,2021-22,CF,Delantero,3,Móvil/Espacios,2.2679970437886023,100.0,4.473293514834078,1.3447935199385093
Sandro Ramírez,Getafe,Getafe,CF,30,0,2026-06-30,29,1553,3,2.04,0,1.33,22.66,39.13,Spain,Spain,derecho,175,72,no,3.3,3.88,35.82,2.09,27.78,0.35,0.43,0.17,1.56,1.92,1.8,7,0.41,0,0.0,4.4,0.17,3,0.17,0.12,0,0.0,47,2.72,29.79,6.383,0.0,1.8,12.9,1.16,5.0,0.64,27.27,0.17,5.8,56.0,11.94,45.63,2.78,1.33,0.64,14.43,1.27,2.72,20.57,76.9,3.42,55.93,5.56,89.58,6.55,76.11,18.31,83.54,0.52,66.67,15.81,13.41,0.08,0.7,0.06,0.06,0.23,50.0,0.23,1.56,59.26,1.51,38.46,0.23,25.0,0.64,0.17,1.62,60.71,0,,0,,0,0,0,0.0,,,0.0,,,0.58,0.35,0.0,0.29,0,0.0,2021-22,CF,Delantero,0,Físico/Presor,1.3917523796568447,88.1,-1.0269777752861133,1.5135907521232839
Oihan Sancet,Athletic Club,Athletic Club,CF,25,0,2032-06-30,27,1510,6,4.44,4,2.08,24.74,36.39,Spain,Spain,derecho,188,72,no,3.58,4.23,52.11,3.46,29.31,0.12,0.16,0.0,1.25,1.67,1.19,2,0.12,0,0.0,4.17,0.36,6,0.36,0.26,1,0.06,31,1.85,45.16,19.355,0.24,0.83,28.57,0.36,16.67,0.48,37.5,0.06,4.89,52.44,13.17,38.01,3.1,1.31,0.66,17.82,1.67,1.55,25.81,78.75,6.32,66.04,6.26,89.52,6.97,79.49,24.14,80.74,0.89,73.33,15.25,14.45,0.12,1.07,0.06,0.06,1.37,39.13,0.83,3.04,72.55,2.62,56.82,1.43,41.67,1.67,0.3,2.92,79.59,0,,0,,0,0,0,0.0,,,0.0,,,0.0,0.0,0.0,0.06,0,0.0,2021-22,CF,Delantero,1,Asociativo/Falso 9,2.019454981511326,25.3,-0.10554940459551522,0.6028156143990704
Y. En-Nesyri,Sevilla,Sevilla,CF,28,0,2029-06-30,23,1388,5,5.98,1,0.56,17.38,39.18,Morocco,Morocco,izquierdo,188,78,no,3.83,2.27,68.57,7.65,42.37,0.26,0.44,0.26,2.01,3.44,0.65,1,0.06,0,0.0,1.43,0.32,4,0.26,0.39,3,0.19,33,2.14,39.39,15.152,0.06,0.39,33.33,0.32,40.0,0.06,0.0,0.0,1.17,33.33,3.83,20.34,2.98,0.45,0.26,7.78,1.62,0.65,9.99,73.38,1.69,53.85,2.98,91.3,2.66,75.61,9.14,75.89,0.45,57.14,15.77,12.29,0.04,0.26,0.06,0.0,0.19,33.33,0.13,0.91,42.86,0.58,33.33,0.26,25.0,0.19,0.13,0.97,60.0,0,,0,,0,0,0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,100.0,2021-22,CF,Delantero,1,Asociativo/Falso 9,1.392662001278231,65.1,-0.558740832711068,-1.0177582585919116
B. Dia,Villarreal,Villarreal,CF,29,10000000,2027-06-30,25,1382,5,4.22,4,2.22,19.99,33.22,France,"France, Senegal",derecho,180,75,si,2.41,3.0,41.3,4.43,33.82,0.13,0.21,0.07,1.04,1.7,1.37,3,0.2,0,0.0,2.41,0.33,5,0.33,0.28,1,0.07,33,2.15,33.33,15.152,0.26,0.46,57.14,0.33,60.0,0.07,100.0,0.0,2.15,60.61,8.01,29.27,4.17,0.91,0.33,9.9,1.3,0.72,14.59,82.14,1.89,55.17,5.14,89.87,3.65,83.93,14.0,83.26,0.13,50.0,13.54,2.89,0.14,0.98,0.0,0.0,0.26,50.0,0.65,0.72,36.36,0.46,71.43,0.2,0.0,0.98,0.26,1.24,63.16,0,,0,,0,0,0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,2021-22,CF,Delantero,1,Asociativo/Falso 9,1.63913686382986,49.4,0.2295205114980765,-0.44466456496532075
João Félix,Atlético Madrid,Atlético Madrid,"CF, LWF",26,30000000,2027-06-30,24,1379,8,4.65,3,2.03,20.17,42.72,Portugal,Portugal,derecho,181,70,no,1.96,2.02,32.26,3.52,35.19,0.26,0.35,0.13,1.04,1.4,1.04,2,0.13,1,0.07,4.76,0.52,8,0.52,0.3,1,0.07,38,2.48,42.11,21.053,0.2,0.91,35.71,0.78,41.67,0.13,0.0,0.07,5.09,52.56,12.27,47.34,3.07,2.22,1.04,20.3,2.22,3.46,27.41,76.43,8.29,60.63,6.66,92.16,6.85,80.95,23.76,79.95,2.81,58.14,16.52,28.22,0.13,0.78,0.07,0.0,1.89,37.93,0.52,4.05,67.74,3.13,56.25,2.55,35.9,1.89,0.33,4.18,76.56,0,,0,,0,0,0,0.0,,,0.0,,,0.46,0.13,50.0,0.13,0,0.0,2021-22,CF,Delantero,2,Clásico de Área,2.7324653814335904,22.8,1.7701772123042099,0.770915657318894
G. Carrillo,Elche,Elche,CF,34,400000,2026-12-31,29,1328,2,3.73,0,0.04,28.06,41.3,Argentina,"Argentina, Italy",derecho,187,87,no,5.35,3.73,49.09,11.32,50.9,0.95,1.33,0.2,2.58,3.62,2.3,3,0.2,0,0.0,1.22,0.14,2,0.14,0.25,1,0.07,19,1.29,52.63,10.526,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.81,66.67,7.25,30.84,2.17,0.34,0.34,9.76,1.83,1.69,16.6,77.14,2.98,52.27,5.49,83.95,4.07,85.0,16.13,78.57,0.34,40.0,14.64,7.75,0.0,0.14,0.14,0.0,0.14,0.0,0.0,1.49,50.0,0.34,60.0,0.14,0.0,0.2,0.0,1.22,38.89,0,,0,,0,0,0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,2021-22,CF,Delantero,0,Físico/Presor,2.0483936859071226,49.3,-2.6903817364282716,0.02944296427847426
