Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Valor de mercado,Vencimiento contrato,Partidos jugados,Minutos jugados,Goles,xG,Asistencias,xA,Duelos/90,"Duelos ganados, %",País de nacimiento,Pasaporte,Pie,Altura,Peso,En préstamo,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Centros desde la banda izquierda/90,"Precisión centros desde la banda izquierda, %",Centros desde la banda derecha/90,"Precisión centros desde la banda derecha, %",Centros al área pequeña/90,Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases cortos / medios /90,"Precisión pases cortos / medios, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90.1,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90.1,Tiros libres/90,Tiros libres directos/90,"Tiros libres directos, %",Córneres/90,Penaltis a favor,"Penaltis realizados, %",Temporada,pos_primaria,grupo,cluster,arquetipo,distancia_centroide,pureza_arquetipo,pca1,pca2
Luis Rioja,Deportivo Alavés,Deportivo Alavés,"LW, LAMF",32,4000000,2027-06-30,37,3326,1,3.75,3,4.07,19.46,43.53,Spain,Spain,izquierdo,175,68,no,5.17,4.36,56.52,1.6,30.51,0.11,0.13,0.03,2.6,3.2,0.43,3,0.08,0,0.0,5.44,0.03,1,0.03,0.1,0,0.0,41,1.11,36.59,2.439,0.08,3.98,27.21,3.71,27.74,0.27,20.0,0.38,6.85,54.55,10.88,42.79,2.11,2.65,1.33,14.34,1.76,1.0,22.68,67.78,5.41,63.0,5.9,92.2,6.06,53.57,17.45,78.14,1.46,48.15,18.89,27.31,0.11,0.81,0.05,0.03,0.6,36.36,0.43,1.54,64.91,3.44,37.8,0.46,23.53,0.57,1.08,3.82,66.67,0,,0,,0,0,0,0.0,,,0.19,,,0.6,0.0,0.0,0.68,0,0.0,2021-22,LW,Extremo,2,Asociativo,1.756957632807855,85.7,-0.2743166572966711,1.8404815337447975
Álvaro García,Rayo Vallecano,Rayo Vallecano,"LAMF, LW",33,3000000,2028-06-30,36,3259,7,7.29,4,6.04,12.7,49.13,Spain,Spain,izquierdo,167,60,no,5.99,4.36,58.86,0.91,18.18,0.11,0.16,0.08,3.31,4.76,0.66,6,0.17,0,0.0,4.86,0.19,7,0.19,0.2,0,0.0,68,1.88,35.29,10.294,0.11,5.88,33.33,5.61,33.5,0.28,30.0,0.86,3.01,62.39,5.11,50.81,3.95,2.4,1.22,19.11,2.51,0.72,28.47,65.37,7.46,57.41,5.61,92.12,10.02,60.33,20.82,76.92,2.07,38.67,20.25,34.97,0.17,1.19,0.0,0.0,0.8,44.83,0.88,2.37,54.65,4.78,43.35,0.52,15.79,0.77,1.82,5.22,72.49,0,,0,,0,0,0,0.0,,,0.25,,,0.06,0.0,0.0,0.14,0,0.0,2021-22,LAMF,Extremo,2,Asociativo,2.7220320568847844,35.1,1.883396515003713,1.7376599354137514
Brais Méndez,Celta de Vigo,Celta de Vigo,RAMF,29,0,2028-06-30,37,3218,4,4.8,5,3.29,21.79,39.28,Spain,Spain,izquierdo,187,76,no,8.36,7.19,45.14,3.33,42.02,1.09,1.62,0.17,4.03,5.98,2.1,8,0.22,0,0.0,2.6,0.11,4,0.11,0.13,0,0.0,52,1.45,30.77,7.692,0.14,1.09,41.03,0.17,16.67,0.89,43.75,0.2,2.99,42.06,7.33,35.11,1.9,1.15,0.5,30.76,1.17,1.4,40.8,83.28,12.67,73.51,8.36,93.31,10.71,86.68,37.17,85.4,2.57,69.57,15.81,33.58,0.09,0.76,0.06,0.03,1.23,36.36,0.48,5.51,80.71,2.71,61.86,1.48,33.96,1.4,0.53,6.32,76.11,0,,0,,0,0,0,0.0,,,0.22,,,0.11,0.08,66.67,0.03,0,0.0,2021-22,RAMF,Extremo,3,Defensivo,2.0276804780939552,65.2,-2.5365387717699797,-0.4874648851642223
Dani Rodríguez,Mallorca,Mallorca,"LW, CF, LAMF",38,1000000,2027-06-30,36,3074,3,2.88,2,2.76,25.65,39.73,Spain,Spain,derecho,178,71,no,6.06,6.29,48.84,3.34,39.47,0.23,0.32,0.06,2.75,3.73,1.84,7,0.2,0,0.0,2.66,0.09,3,0.09,0.08,2,0.06,41,1.2,21.95,7.317,0.06,1.23,23.81,1.02,25.71,0.18,0.0,0.2,4.01,42.34,11.68,36.84,1.87,1.58,1.29,16.07,0.76,2.08,25.03,80.82,7.26,74.6,5.12,88.57,6.59,81.78,22.1,85.03,1.79,63.93,16.74,27.93,0.08,0.82,0.03,0.03,0.79,51.85,0.23,2.84,71.13,1.82,58.06,0.76,50.0,0.91,0.29,3.28,72.32,0,,0,,0,0,0,0.0,,,0.03,,,0.41,0.09,66.67,0.76,0,0.0,2021-22,LW,Extremo,3,Defensivo,1.9006736481112216,73.0,-2.4082795063002878,-0.39742613125178233
Sergio Canales,Real Betis,Real Betis,"RAMF, LDMF, RW",35,10000000,2026-06-30,34,2986,5,4.74,8,4.62,15.49,42.8,Spain,Spain,izquierdo,178,72,no,3.8,3.56,61.02,0.99,36.36,0.33,0.47,0.03,1.3,1.85,0.63,6,0.18,0,0.0,3.47,0.15,5,0.15,0.14,0,0.0,51,1.54,47.06,9.804,0.24,1.81,33.33,1.33,29.55,0.45,46.67,0.3,2.05,58.82,7.96,37.12,1.87,2.47,1.51,40.54,1.33,1.12,53.11,84.39,15.1,71.06,11.45,94.47,17.18,89.12,46.36,88.62,5.03,63.47,18.12,36.38,0.14,1.42,0.09,0.06,2.05,45.59,0.78,7.02,72.53,4.37,54.48,2.56,40.0,1.93,0.57,7.11,82.63,0,,0,,0,0,0,0.0,,,0.51,,,0.36,0.09,66.67,0.27,0,0.0,2021-22,RAMF,Extremo,2,Asociativo,2.7105794782524044,36.4,0.6617963290747289,0.7945513404064956
Iker Muniain,Athletic Club,Athletic Club,LW,33,5000000,,35,2975,4,7.09,9,9.25,17.12,48.41,Spain,Spain,derecho,169,65,no,4.11,3.57,56.78,0.39,23.08,0.3,0.4,0.0,1.78,2.36,0.42,3,0.09,0,0.0,4.72,0.12,3,0.09,0.21,0,0.0,41,1.24,51.22,9.756,0.27,1.39,47.83,0.85,57.14,0.48,25.0,0.21,4.78,55.06,11.22,49.06,1.69,2.24,1.0,28.8,0.88,2.45,40.3,85.66,12.92,79.63,7.38,90.98,11.34,87.47,37.6,87.69,1.3,67.44,15.75,27.52,0.28,2.69,0.12,0.06,1.48,53.06,0.79,5.42,81.01,3.69,68.85,1.12,45.95,1.88,0.67,6.87,90.75,0,,0,,0,0,0,0.0,,,0.0,,,2.36,0.18,16.67,3.93,3,33.333,2021-22,LW,Extremo,2,Asociativo,2.8043068401005793,31.2,0.9334132528290127,0.7770052564268547
Vinícius Júnior,Real Madrid,Real Madrid,"LWF, LW",25,0,2027-06-30,35,2856,17,10.73,9,7.53,25.71,44.36,Brazil,"Brazil, Spain",derecho,176,73,no,5.2,5.23,60.24,0.5,18.75,0.35,0.5,0.09,1.7,2.45,1.07,6,0.19,0,0.0,7.78,0.54,17,0.54,0.34,2,0.06,75,2.36,57.33,22.667,0.28,2.05,30.77,1.8,29.82,0.19,50.0,0.25,10.93,46.69,17.43,42.13,6.11,7.53,3.59,33.03,2.87,2.21,40.02,85.04,6.3,81.0,11.47,92.03,11.31,84.12,36.52,88.27,1.51,77.08,14.66,25.89,0.24,1.99,0.09,0.03,1.39,50.0,1.1,1.7,85.19,3.5,62.16,0.91,37.93,2.71,0.69,3.78,85.83,0,,0,,0,0,0,0.0,,,0.03,,,0.0,0.0,0.0,0.16,0,0.0,2021-22,LWF,Extremo,0,Desbordador,5.445198549803408,12.1,6.977091201403249,-0.715594503356243
Y. Carrasco,Atlético Madrid,Atlético Madrid,"LW, LWB, LB",32,14000000,2027-06-30,34,2808,6,5.86,6,6.59,20.48,46.01,Belgium,"Belgium, Spain",derecho,181,72,no,4.74,4.23,56.82,0.9,28.57,0.06,0.08,0.13,2.28,2.95,0.96,5,0.16,0,0.0,5.71,0.19,4,0.13,0.19,0,0.0,52,1.67,25.0,11.538,0.19,2.18,29.41,1.44,31.11,0.74,26.09,0.1,7.4,56.28,12.82,45.0,3.81,3.43,1.03,25.54,2.85,1.25,33.49,80.19,6.79,74.06,9.39,91.47,8.97,75.71,30.03,85.17,1.47,47.83,15.67,29.1,0.21,1.79,0.03,0.0,0.93,51.72,0.58,2.4,72.0,3.11,54.64,0.9,39.29,1.6,0.64,4.65,75.86,0,,0,,0,0,0,0.0,,,0.29,,,1.54,0.06,50.0,1.83,2,100.0,2021-22,LW,Extremo,1,Finalizador,2.136733980940555,58.0,1.645975796620333,0.1555421928704765
Rubén García,Osasuna,Osasuna,"LW, LWF",32,2500000,2027-06-30,37,2489,1,3.26,6,4.47,19.56,44.73,Spain,Spain,derecho,171,72,no,7.48,6.15,53.53,2.6,44.44,0.54,0.67,0.18,3.65,4.52,1.27,2,0.07,0,0.0,4.16,0.04,1,0.04,0.12,0,0.0,29,1.05,41.38,3.448,0.22,3.91,39.81,3.36,39.78,0.51,35.71,0.51,3.51,57.73,7.12,45.69,1.74,1.12,0.54,26.83,2.6,1.01,39.05,76.76,8.86,65.31,8.71,89.21,12.98,73.26,32.36,82.12,2.93,66.67,17.23,33.69,0.16,1.7,0.04,0.0,0.51,28.57,0.54,3.94,73.39,4.27,52.54,0.36,30.0,0.9,1.63,6.33,79.43,0,,0,,0,0,0,0.0,,,0.11,,,1.3,0.14,75.0,3.25,2,0.0,2021-22,LW,Extremo,2,Asociativo,2.36881036170289,54.5,-1.4308796453333574,2.022652220134662
Isi Palazón,Rayo Vallecano,Rayo Vallecano,"RAMF, RW",31,8000000,2028-06-30,34,2462,2,4.08,4,1.4,27.31,41.23,Spain,Spain,izquierdo,169,71,no,7.75,6.03,58.79,5.15,37.59,0.33,0.49,0.11,3.87,5.79,1.13,7,0.26,0,0.0,3.0,0.07,2,0.07,0.15,0,0.0,54,1.97,25.93,3.704,0.15,1.17,25.0,0.29,25.0,0.84,26.09,0.15,4.5,39.84,11.73,34.58,1.57,1.17,0.66,19.92,1.61,2.6,28.77,79.03,7.75,65.57,7.46,95.1,8.37,79.91,24.27,84.49,3.33,58.24,18.29,32.36,0.05,0.73,0.04,0.04,0.66,61.11,0.33,4.13,73.45,2.08,47.37,0.84,47.83,0.77,0.29,4.53,78.23,0,,0,,0,0,0,0.0,,,0.11,,,0.95,0.22,33.33,1.46,0,0.0,2021-22,RAMF,Extremo,3,Defensivo,2.0750264831279615,60.7,-2.4785314436554553,-1.012164928991843
Antonio Puertas,Granada,Granada,"RW, RAMF",34,2000000,2027-06-30,33,2436,6,6.17,1,0.81,25.23,40.41,Spain,Spain,derecho,183,77,no,6.5,5.99,54.94,5.62,34.21,0.15,0.19,0.18,3.07,3.93,1.63,4,0.15,0,0.0,3.21,0.22,6,0.22,0.23,1,0.04,32,1.18,50.0,18.75,0.04,1.74,36.17,0.07,100.0,1.66,33.33,0.11,3.51,51.58,8.98,37.04,2.07,1.51,0.78,14.63,1.63,1.15,22.94,75.36,5.99,59.88,6.17,90.42,5.73,74.19,19.69,80.68,1.74,48.94,16.85,27.22,0.03,0.41,0.04,0.04,0.48,38.46,0.22,1.88,64.71,1.66,55.56,0.41,36.36,0.55,0.67,3.1,59.52,0,,0,,0,0,0,0.0,,,0.11,,,0.0,0.0,0.0,0.07,0,0.0,2021-22,RW,Extremo,3,Defensivo,1.8018661080314047,78.7,-2.149057723349589,-1.45408665151927
Fidel,Elche,Elche,"LW, LCMF",36,600000,2026-06-30,33,2418,5,3.08,6,5.44,18.5,43.06,Spain,Spain,izquierdo,180,75,no,5.14,6.1,51.83,1.04,14.29,0.15,0.19,0.04,1.82,2.28,0.89,9,0.33,0,0.0,4.09,0.19,4,0.15,0.11,1,0.04,17,0.63,47.06,29.412,0.22,2.16,29.31,1.75,23.4,0.33,55.56,0.3,4.39,53.39,9.12,41.22,1.49,1.82,0.82,26.61,1.38,1.0,37.26,78.72,12.88,72.83,7.37,92.42,9.86,78.11,32.64,83.47,2.53,57.35,17.16,32.4,0.2,1.23,0.0,0.07,1.34,61.11,0.56,4.69,72.22,2.64,45.07,1.08,62.07,0.89,0.67,6.14,75.76,0,,0,,0,0,0,0.0,,,0.0,,,0.67,0.04,0.0,1.71,1,100.0,2021-22,LW,Extremo,2,Asociativo,2.212603131842798,58.4,-0.9337859994608734,0.8500486858525625
Javi Puado,Espanyol,Espanyol,"LW, RW, CF",27,8000000,2030-06-30,30,2393,4,4.69,1,0.87,18.88,39.04,Spain,Spain,derecho,177,69,no,4.7,4.33,56.52,2.52,29.85,0.26,0.33,0.04,1.99,2.47,0.83,5,0.19,0,0.0,2.48,0.15,4,0.15,0.18,1,0.04,35,1.32,31.43,11.429,0.04,0.79,19.05,0.26,0.0,0.53,28.57,0.15,3.57,45.26,8.99,35.15,2.03,2.03,0.9,15.98,1.32,0.9,22.75,86.45,4.1,77.98,7.07,94.68,5.53,84.35,21.55,89.35,0.45,58.33,14.69,15.03,0.03,0.6,0.04,0.0,0.49,61.54,0.26,1.2,71.88,1.17,58.06,0.3,62.5,0.45,0.23,1.99,73.58,0,,0,,0,0,0,0.0,,,0.15,,,0.0,0.0,0.0,0.0,0,0.0,2021-22,LW,Extremo,3,Defensivo,2.6559801391640043,30.3,-1.8272543175754878,-1.7842123232070932
Álex Berenguer,Athletic Bilbao,Athletic Bilbao,"RW, CF",29,12000000,2027-06-30,34,2370,3,4.76,6,5.6,26.2,43.19,Spain,Spain,derecho,175,73,no,7.86,7.97,51.9,4.48,44.07,0.19,0.25,0.15,3.53,4.66,1.71,8,0.3,0,0.0,4.44,0.11,3,0.11,0.18,1,0.04,46,1.75,34.78,6.522,0.23,3.46,28.57,0.68,50.0,2.77,23.29,0.42,4.97,48.09,9.65,41.34,2.58,1.78,1.25,18.46,1.33,1.59,27.46,69.29,7.97,52.38,6.46,94.12,7.56,67.34,22.25,77.99,1.86,36.73,17.46,26.41,0.21,1.41,0.0,0.08,0.99,46.15,0.72,2.73,45.83,3.57,35.11,0.91,16.67,0.68,1.18,4.33,71.93,0,,0,,0,0,0,0.0,,,0.04,,,0.76,0.08,0.0,2.77,1,0.0,2021-22,RW,Extremo,2,Asociativo,2.6808693265587964,39.0,-0.014860621580027428,1.232371052993427
Manu Trigueros,Villarreal,Villarreal,"LW, CF, RCMF",34,1500000,2026-06-30,35,2350,6,3.87,4,1.47,18.0,42.77,Spain,Spain,derecho,178,75,no,6.55,6.97,49.45,1.8,36.17,0.61,0.93,0.11,2.49,3.79,1.84,3,0.11,0,0.0,2.37,0.23,6,0.23,0.15,0,0.0,39,1.49,41.03,15.385,0.15,0.84,31.82,0.42,27.27,0.42,36.36,0.27,1.07,60.71,5.32,38.85,1.99,1.0,0.42,34.81,1.0,1.53,44.0,82.07,15.82,69.01,7.66,95.5,13.17,88.66,39.79,85.56,3.37,53.41,16.72,25.27,0.06,0.54,0.15,0.0,2.07,40.74,0.38,7.47,72.31,3.29,48.84,2.49,43.08,1.3,0.34,6.66,81.61,0,,0,,0,0,0,0.0,,,0.38,,,0.15,0.0,0.0,0.23,0,0.0,2021-22,LW,Extremo,3,Defensivo,1.673031854567304,86.5,-2.1100012125681427,-0.7845135266356708
L. Ocampos,Sevilla,Sevilla,"RAMF, RWF, LWF",31,0,2027-06-30,30,2303,6,6.06,4,2.04,25.32,37.5,Argentina,"Argentina, Spain",derecho,188,84,no,6.37,6.02,48.7,2.81,41.67,0.39,0.64,0.08,3.05,4.98,1.72,7,0.27,0,0.0,4.06,0.23,6,0.23,0.24,1,0.04,46,1.8,34.78,13.043,0.16,2.85,35.62,0.39,70.0,2.38,27.87,0.27,5.94,38.82,12.47,34.48,3.36,2.31,1.13,24.42,3.01,1.6,30.76,79.8,8.25,70.62,8.13,96.63,9.34,75.73,25.87,86.4,2.42,56.45,18.48,36.23,0.08,0.55,0.0,0.0,0.51,23.08,0.39,2.54,58.46,2.42,38.71,0.47,8.33,0.55,0.94,4.42,73.45,0,,0,,0,0,0,0.0,,,0.04,,,0.04,0.0,0.0,0.04,0,0.0,2021-22,RAMF,Extremo,1,Finalizador,2.34741460753623,50.6,-0.07966727160267177,-1.0797484317958082
Juanmi,Real Betis,Real Betis,"LAMF, LW",32,6000000,2027-06-30,33,2255,15,10.23,4,2.12,19.88,40.36,Spain,Spain,derecho,172,63,no,6.07,5.67,55.63,3.19,36.25,1.16,1.65,0.04,1.76,2.5,1.4,5,0.2,0,0.0,2.67,0.6,16,0.64,0.41,3,0.12,53,2.12,58.49,30.189,0.16,0.24,50.0,0.12,66.67,0.12,33.33,0.04,1.96,57.14,6.15,31.82,3.03,0.88,0.56,14.81,1.48,0.68,19.12,81.42,3.79,74.74,5.35,88.06,4.99,83.2,18.0,82.93,0.88,59.09,15.31,19.64,0.08,0.4,0.04,0.04,0.24,83.33,0.28,1.32,72.73,0.76,57.89,0.36,55.56,0.8,0.08,2.39,63.33,0,,0,,0,0,0,0.0,,,0.04,,,0.0,0.0,0.0,0.0,0,0.0,2021-22,LAMF,Extremo,1,Finalizador,3.835439208263365,4.9,-0.29780594254839937,-4.666103847829713
Adri Embarba,Espanyol,Espanyol,"RW, RAMF, LW",33,1800000,2028-06-30,32,2118,0,2.9,2,3.37,26.3,42.81,Spain,Spain,derecho,173,68,no,8.24,7.52,55.37,2.25,33.96,0.38,0.47,0.08,3.7,4.52,1.27,4,0.17,0,0.0,4.97,0.0,0,0.0,0.12,0,0.0,46,1.95,34.78,0.0,0.08,3.74,25.0,0.76,22.22,2.97,25.71,0.51,6.25,51.02,12.92,39.14,1.74,2.17,1.1,16.49,1.53,1.91,25.5,69.5,6.08,57.34,6.12,89.58,8.12,63.35,20.35,78.5,1.61,52.63,18.74,21.31,0.14,1.57,0.08,0.0,0.51,33.33,0.3,1.53,63.89,3.65,34.88,0.55,30.77,0.59,1.02,3.78,53.93,0,,0,,0,0,0,0.0,,,0.17,,,1.78,0.59,35.71,4.5,0,0.0,2021-22,RW,Extremo,2,Asociativo,2.679391192857471,40.3,-1.1336650412584233,1.6594247371742858
F. Cervi,Celta de Vigo,Celta de Vigo,"LAMF, LW",32,1500000,2026-06-30,33,1946,4,4.11,2,1.55,21.27,46.74,Argentina,"Argentina, Italy",izquierdo,166,62,no,10.41,8.32,60.56,2.64,26.32,0.65,0.97,0.14,4.72,7.03,0.88,5,0.23,0,0.0,2.87,0.18,4,0.18,0.19,1,0.05,21,0.97,42.86,19.048,0.09,2.45,35.85,1.9,39.02,0.51,27.27,0.28,2.73,55.93,7.12,46.1,2.17,0.83,0.79,22.29,0.55,1.85,32.98,79.94,8.09,66.86,7.95,92.44,9.11,82.23,29.0,85.49,1.66,47.22,15.98,22.05,0.07,0.51,0.0,0.09,0.32,14.29,0.23,2.31,74.0,1.85,52.5,0.32,14.29,0.65,0.83,4.58,69.7,0,,0,,0,0,0,0.0,,,0.23,,,0.18,0.0,0.0,1.48,0,0.0,2021-22,LAMF,Extremo,3,Defensivo,2.991504238230995,18.0,-3.180613330264049,-0.460040846598687
A. Gómez,Sevilla,Sevilla,"LWF, AMF, LCMF",37,0,2027-06-30,29,1929,5,2.41,1,2.41,19.13,43.66,Argentina,"Argentina, Italy",derecho,167,68,no,4.57,3.97,50.59,1.26,40.74,0.75,1.15,0.09,1.82,2.8,0.98,4,0.19,0,0.0,4.67,0.23,5,0.23,0.11,0,0.0,32,1.49,37.5,15.625,0.05,2.38,33.33,1.59,29.41,0.79,41.18,0.51,5.55,57.98,11.15,46.86,1.77,4.53,1.87,32.52,0.98,2.19,42.69,88.42,9.28,80.4,8.82,97.35,16.89,87.02,36.63,93.89,3.78,69.14,17.87,32.34,0.11,0.89,0.09,0.0,0.33,28.57,0.33,4.48,82.29,2.85,55.74,0.98,42.86,0.75,0.84,5.13,80.91,0,,0,,0,0,0,0.0,,,0.14,,,0.19,0.0,0.0,0.75,0,0.0,2021-22,LWF,Extremo,1,Finalizador,3.3222463550274903,17.3,0.5128087510657732,0.5113809147881976
Jorge de Frutos,Levante,Levante,"RW, RWF, LW",28,4000000,2028-06-30,25,1882,4,6.26,7,2.64,23.67,41.01,Spain,Spain,derecho,173,71,no,6.65,7.51,53.5,1.43,16.67,0.43,0.54,0.0,2.2,2.78,1.77,4,0.19,0,0.0,5.21,0.19,4,0.19,0.3,1,0.05,43,2.06,46.51,9.302,0.33,3.59,26.67,0.43,22.22,3.11,27.69,0.48,5.83,55.74,9.61,43.28,3.3,2.25,1.67,14.92,1.58,1.0,21.9,67.69,6.12,60.94,4.16,91.95,6.65,61.87,16.69,77.94,1.96,51.22,19.8,38.18,0.13,0.91,0.1,0.0,0.19,25.0,0.67,2.2,58.7,3.35,40.0,0.33,28.57,0.62,1.05,4.06,71.76,0,,0,,0,0,0,0.0,,,0.19,,,0.05,0.0,0.0,0.29,0,0.0,2021-22,RW,Extremo,2,Asociativo,2.460978188854897,49.4,1.2512556872105964,0.21231872357148426
Marco Asensio,Real Madrid,Real Madrid,RWF,30,0,2028-06-30,31,1866,10,7.04,1,2.25,12.68,46.39,Spain,"Spain, Netherlands",izquierdo,182,76,no,3.81,2.7,55.36,0.39,12.5,0.1,0.14,0.05,2.22,3.25,0.39,2,0.1,0,0.0,4.39,0.48,10,0.48,0.34,0,0.0,62,2.99,50.0,16.129,0.05,2.17,22.22,0.77,18.75,1.4,24.14,0.29,3.23,61.19,7.81,47.53,3.86,2.56,1.83,33.14,2.22,1.01,39.26,86.12,7.43,77.27,10.08,93.78,12.4,85.6,35.4,91.01,1.83,63.16,15.62,26.68,0.11,1.21,0.14,0.05,1.06,40.91,0.48,3.47,86.11,2.41,48.0,1.11,30.43,1.25,0.39,3.47,87.5,0,,0,,0,0,0,0.0,,,0.29,,,0.39,0.1,50.0,2.12,0,0.0,2021-22,RWF,Extremo,1,Finalizador,3.5302102885245707,11.1,2.27649968178053,-2.708896640232447
Yéremy Pino,Villarreal,Villarreal,"RW, RWF",23,30000000,2030-06-30,31,1799,6,6.34,4,2.0,22.76,39.12,Spain,Spain,derecho,172,65,no,6.45,5.3,49.06,2.65,26.42,0.45,0.73,0.2,3.4,5.54,1.45,2,0.1,0,0.0,3.9,0.3,6,0.3,0.32,1,0.05,26,1.3,57.69,23.077,0.2,1.35,37.04,0.1,0.0,1.2,37.5,0.1,4.25,50.59,10.01,40.0,4.25,2.25,1.0,18.91,2.05,1.75,26.06,80.23,5.0,63.0,8.4,94.05,6.35,81.1,24.06,83.37,0.7,50.0,16.17,12.95,0.1,0.9,0.15,0.05,1.1,45.45,0.65,1.45,62.07,1.7,76.47,0.7,28.57,1.7,0.5,2.7,74.07,0,,0,,0,0,0,0.0,,,0.25,,,0.0,0.0,0.0,0.05,0,0.0,2021-22,RW,Extremo,1,Finalizador,1.8738824769628,79.0,0.16314258515284064,-2.1006527975990408
Mikel Oyarzabal,Real Sociedad,Real Sociedad,"LAMF, LW, LWF",29,0,2028-06-30,22,1788,9,9.29,3,3.8,19.18,37.27,Spain,Spain,izquierdo,181,79,no,4.78,3.67,54.79,3.32,33.33,0.25,0.39,0.1,2.52,3.89,0.65,0,0.0,1,0.05,3.62,0.45,5,0.25,0.47,2,0.1,40,2.01,45.0,22.5,0.15,2.52,32.0,2.06,34.15,0.45,22.22,0.15,3.57,46.48,8.96,34.27,3.42,1.81,1.31,19.48,1.21,1.31,25.82,76.22,5.34,65.09,7.25,94.44,7.65,71.05,22.4,82.92,1.21,33.33,18.65,24.73,0.19,1.71,0.0,0.0,0.91,27.78,0.65,1.76,60.0,2.16,58.14,0.6,16.67,0.91,0.7,3.37,58.21,0,,0,,0,0,0,0.0,,,0.15,,,1.81,0.25,40.0,2.87,5,80.0,2021-22,LAMF,Extremo,1,Finalizador,2.921306737541199,27.2,1.947425482964229,-2.7156658885911638
Tete Morente,Elche,Elche,"RW, LW",29,2500000,2028-06-30,32,1768,3,2.67,3,2.5,21.89,45.35,Spain,Spain,derecho,180,76,no,7.23,6.01,52.54,2.49,46.94,0.46,0.64,0.1,3.61,5.04,1.58,4,0.2,0,0.0,4.23,0.15,3,0.15,0.14,0,0.0,28,1.43,28.57,10.714,0.15,3.21,31.75,0.41,50.0,2.8,29.09,0.25,5.29,50.96,9.72,40.31,2.24,2.44,0.87,20.16,2.7,1.17,28.15,72.51,7.13,57.86,6.67,93.89,8.2,73.91,23.67,79.14,1.43,46.43,17.36,26.6,0.13,0.81,0.0,0.0,0.25,40.0,0.66,2.24,63.64,2.34,45.65,0.25,20.0,0.36,1.02,4.17,67.07,0,,0,,0,0,0,0.0,,,0.05,,,0.25,0.05,0.0,0.46,0,0.0,2021-22,RW,Extremo,2,Asociativo,1.9001851762791238,80.5,-0.6619003785759793,0.5743013784207236
A. Januzaj,Real Sociedad,Real Sociedad,"RW, RAMF, LW",31,2000000,2026-06-30,33,1762,3,4.6,0,3.83,28.81,37.77,Belgium,"Belgium, Kosovo",izquierdo,186,75,no,4.04,3.83,45.33,1.94,34.21,0.05,0.08,0.1,2.25,3.36,1.33,5,0.26,0,0.0,7.76,0.15,1,0.05,0.24,0,0.0,39,1.99,38.46,7.692,0.0,3.27,39.06,1.58,38.71,1.69,39.39,0.56,8.63,49.7,19.82,39.18,2.04,2.45,1.02,22.32,1.02,2.45,30.75,75.42,6.95,63.24,6.49,89.76,11.08,74.65,25.03,81.84,2.81,60.0,20.77,37.59,0.2,1.53,0.05,0.05,2.45,58.33,0.72,4.49,69.32,4.39,52.33,1.74,50.0,1.43,1.28,5.93,82.76,0,,0,,0,0,0,0.0,,,0.1,,,1.79,0.41,50.0,4.14,2,100.0,2021-22,RW,Extremo,2,Asociativo,1.921428776161857,79.2,1.860452018574059,1.0289089405699634
