tipo,nombre,url
jugador,Nabil Touaizi,https://img.sofascore.com/api/v1/player/904849/image
jugador,Cedric Teguia,https://img.sofascore.com/api/v1/player/910033/image
jugador,Slavy,https://img.sofascore.com/api/v1/player/1014740/image
jugador,Álex Calatrava,https://img.sofascore.com/api/v1/player/1136863/image
jugador,Marc Guiu,https://img.sofascore.com/api/v1/player/1414933/image
jugador,Álex Cardero,https://img.sofascore.com/api/v1/player/1085265/image
jugador,Nico Paz,https://img.sofascore.com/api/v1/player/1171451/image
jugador,Suleiman Camara,https://img.sofascore.com/api/v1/player/1090128/image
jugador,Jonny Arriba,https://img.sofascore.com/api/v1/player/1171544/image
jugador,Toni Fernández,https://img.sofascore.com/api/v1/player/1590761/image
jugador,Alexandro Fernández,https://img.sofascore.com/api/v1/player/1142096/image
jugador,Ilies Faure,https://img.sofascore.com/api/v1/player/1613637/image
jugador,Antonio Toral,https://img.sofascore.com/api/v1/player/1461289/image
jugador,Luis Chacón,https://img.sofascore.com/api/v1/player/863388/image
jugador,Mikel Goti,https://img.sofascore.com/api/v1/player/1136702/image
jugador,Diego Esteban,https://img.sofascore.com/api/v1/player/1011117/image
jugador,Lander Astiazarán,https://img.sofascore.com/api/v1/player/1535581/image
jugador,Ekain Azkune,https://img.sofascore.com/api/v1/player/1407827/image
jugador,Sergio Sanchís,https://img.sofascore.com/api/v1/player/1594178/image
jugador,Yeray Cabanzón,https://img.sofascore.com/api/v1/player/1150431/image
jugador,Peio Canales,https://img.sofascore.com/api/v1/player/1464648/image
jugador,Gonzalo García,https://img.sofascore.com/api/v1/player/1402716/image
jugador,Arkaitz Mariezkurrena,https://img.sofascore.com/api/v1/player/1526575/image
jugador,Jota López,https://img.sofascore.com/api/v1/player/1430756/image
jugador,Víctor Narro,https://img.sofascore.com/api/v1/player/1084463/image
jugador,Raúl Alcaina,https://img.sofascore.com/api/v1/player/1009853/image
jugador,Victor Valverde,https://img.sofascore.com/api/v1/player/1175463/image
jugador,Josep Cerdà,https://img.sofascore.com/api/v1/player/1142255/image
jugador,Adrián Niño,https://img.sofascore.com/api/v1/player/1402927/image
jugador,Darío Ramírez,https://img.sofascore.com/api/v1/player/1546390/image
jugador,Unai Buján,https://img.sofascore.com/api/v1/player/1094410/image
jugador,Xabi Huarte,https://img.sofascore.com/api/v1/player/1100596/image
jugador,Alex Marchal,https://img.sofascore.com/api/v1/player/1602590/image
jugador,Maroan Sannadi,https://img.sofascore.com/api/v1/player/1520799/image
jugador,Diego Bri,https://img.sofascore.com/api/v1/player/1031481/image
jugador,Luis Bilbao,https://img.sofascore.com/api/v1/player/1119442/image
jugador,Antonio Zarzana,https://img.sofascore.com/api/v1/player/936483/image
jugador,Aingeru Olabarrieta,https://img.sofascore.com/api/v1/player/1605227/image
jugador,Ekain Orobengoa,https://img.sofascore.com/api/v1/player/1216296/image
jugador,Manu Garrido,https://img.sofascore.com/api/v1/player/1034124/image
jugador,Diego Aznar,https://img.sofascore.com/api/v1/player/1489952/image
jugador,Johan Guedes,https://img.sofascore.com/api/v1/player/1916257/image
jugador,Kepa Uriarte,https://img.sofascore.com/api/v1/player/962714/image
jugador,Álvaro Leiva,https://img.sofascore.com/api/v1/player/1110138/image
jugador,Rafa Tresaco,https://img.sofascore.com/api/v1/player/987423/image
jugador,Iván Cédric,https://img.sofascore.com/api/v1/player/1514612/image
jugador,Dorian Hanza,https://img.sofascore.com/api/v1/player/1160222/image
jugador,Jon Cabo,https://img.sofascore.com/api/v1/player/1017336/image
jugador,Asier Córdoba,https://img.sofascore.com/api/v1/player/855840/image
jugador,Álex Guti,https://img.sofascore.com/api/v1/player/924663/image
jugador,Mario da Costa,https://img.sofascore.com/api/v1/player/1394434/image
jugador,Aimar Vicandi,https://img.sofascore.com/api/v1/player/1550821/image
jugador,Iker Varela,https://img.sofascore.com/api/v1/player/1441821/image
jugador,Víctor San Bartolomé,https://img.sofascore.com/api/v1/player/910981/image
jugador,Hugo González,https://img.sofascore.com/api/v1/player/996931/image
jugador,Endika Buján,https://img.sofascore.com/api/v1/player/1516599/image
jugador,Ibán Ribeiro,https://img.sofascore.com/api/v1/player/2275753/image
jugador,Julián Mahicas,https://img.sofascore.com/api/v1/player/1049555/image
jugador,Miguel Berlanga,https://img.sofascore.com/api/v1/player/1082967/image
jugador,Nacho Quintana,https://img.sofascore.com/api/v1/player/997101/image
jugador,Ángel Troncho,https://img.sofascore.com/api/v1/player/1130801/image
jugador,Rafa Llorente,https://img.sofascore.com/api/v1/player/1090771/image
jugador,Pol Fortuny,https://img.sofascore.com/api/v1/player/1184325/image
jugador,Asier Bonel,https://img.sofascore.com/api/v1/player/1917868/image
jugador,José Morante,https://img.sofascore.com/api/v1/player/2006447/image
jugador,Oscar Marcos,https://img.sofascore.com/api/v1/player/1466120/image
jugador,Roberto Arroyo,https://img.sofascore.com/api/v1/player/1137585/image
jugador,Rayane Belaid,https://img.sofascore.com/api/v1/player/1179148/image
jugador,Aitor Uzkudun,https://img.sofascore.com/api/v1/player/2201655/image
jugador,Luis Vacas,https://img.sofascore.com/api/v1/player/927410/image
jugador,Christian Albert,https://img.sofascore.com/api/v1/player/965840/image
jugador,Ibra sow,https://img.sofascore.com/api/v1/player/1402929/image
jugador,Elijah Gift,https://img.sofascore.com/api/v1/player/1474267/image
jugador,Pascu,https://img.sofascore.com/api/v1/player/964177/image
jugador,Ander Martín,https://img.sofascore.com/api/v1/player/1134399/image
jugador,Andy Escudero,https://img.sofascore.com/api/v1/player/964890/image
jugador,Raúl Dacosta,https://img.sofascore.com/api/v1/player/1102190/image
jugador,Jose Cambra,https://img.sofascore.com/api/v1/player/1399882/image
jugador,Nico Espinosa,https://img.sofascore.com/api/v1/player/1595873/image
jugador,Victor Mingo,https://img.sofascore.com/api/v1/player/2039192/image
jugador,Omar Janneh,https://img.sofascore.com/api/v1/player/1544436/image
jugador,Daniel Garrido,https://img.sofascore.com/api/v1/player/1010384/image
jugador,Raúl Blanco,https://img.sofascore.com/api/v1/player/1069709/image
jugador,Alexis Ciria,https://img.sofascore.com/api/v1/player/1859823/image
jugador,Borja Calvo,https://img.sofascore.com/api/v1/player/1394708/image
jugador,Abde Damar,https://img.sofascore.com/api/v1/player/1010288/image
jugador,Jaume Jardí,https://img.sofascore.com/api/v1/player/966558/image
jugador,Jorge González,https://img.sofascore.com/api/v1/player/1630962/image
jugador,Juan Artola,https://img.sofascore.com/api/v1/player/1009660/image
jugador,Álvaro Merencio,https://img.sofascore.com/api/v1/player/1594565/image
jugador,Noel López,https://img.sofascore.com/api/v1/player/1137862/image
jugador,José Luis Cortés,https://img.sofascore.com/api/v1/player/1492445/image
jugador,Martin Pedroarena,https://img.sofascore.com/api/v1/player/1924868/image
jugador,Arnau Ortiz,https://img.sofascore.com/api/v1/player/1143553/image
jugador,Gastón Valles,https://img.sofascore.com/api/v1/player/1801596/image
jugador,Rubén Valdera,https://img.sofascore.com/api/v1/player/1145623/image
jugador,Miguel Cubo,https://img.sofascore.com/api/v1/player/2238907/image
jugador,Jairo Noriega,https://img.sofascore.com/api/v1/player/1120500/image
jugador,Davo,https://img.sofascore.com/api/v1/player/1139717/image
jugador,Raúl Rubio,https://img.sofascore.com/api/v1/player/965843/image
jugador,Alejandro Monerris,https://img.sofascore.com/api/v1/player/1979290/image
jugador,Ayman Arguigue,https://img.sofascore.com/api/v1/player/1634376/image
jugador,Víctor Moreno,https://img.sofascore.com/api/v1/player/1184319/image
jugador,Josu Gallastegui,https://img.sofascore.com/api/v1/player/1429064/image
jugador,Carlos Mattheus,https://img.sofascore.com/api/v1/player/1518425/image
jugador,Borja Alonso,https://img.sofascore.com/api/v1/player/1402685/image
jugador,Sergi Armero,https://img.sofascore.com/api/v1/player/1895962/image
jugador,Ibai Sanz,https://img.sofascore.com/api/v1/player/1137817/image
jugador,Álex Costa,https://img.sofascore.com/api/v1/player/1002876/image
jugador,Daniel Yáñez,https://img.sofascore.com/api/v1/player/1546404/image
jugador,Borja Vázquez,https://img.sofascore.com/api/v1/player/1865387/image
jugador,Hamza Bellari,https://img.sofascore.com/api/v1/player/1626550/image
jugador,Óscar Vacas,https://img.sofascore.com/api/v1/player/2235118/image
jugador,Nacho Castillo,https://img.sofascore.com/api/v1/player/1393274/image
jugador,Peque Polo,https://img.sofascore.com/api/v1/player/1010341/image
jugador,Marcos Denia,https://img.sofascore.com/api/v1/player/2166626/image
jugador,Peré Marco,https://img.sofascore.com/api/v1/player/1913383/image
jugador,Isra Domínguez,https://img.sofascore.com/api/v1/player/1487790/image
jugador,Julen Lartitegi,https://img.sofascore.com/api/v1/player/1636838/image
jugador,Ángel Arcos,https://img.sofascore.com/api/v1/player/1832051/image
jugador,Jaime Sancho,https://img.sofascore.com/api/v1/player/1000677/image
jugador,Usse Diao,https://img.sofascore.com/api/v1/player/1942192/image
jugador,Raul Sanchís,https://img.sofascore.com/api/v1/player/1413393/image
jugador,Asier Hierro,https://img.sofascore.com/api/v1/player/1550822/image
jugador,Mariano Carmona,https://img.sofascore.com/api/v1/player/1626662/image
jugador,Iker Luque,https://img.sofascore.com/api/v1/player/1544428/image
jugador,Valentín Gómez,https://img.sofascore.com/api/v1/player/1186010/image
jugador,Juanda Fuentes,https://img.sofascore.com/api/v1/player/1153312/image
jugador,Joel Jorquera,https://img.sofascore.com/api/v1/player/1084416/image
jugador,Neco Celorio,https://img.sofascore.com/api/v1/player/1916265/image
jugador,Álvaro Marín,https://img.sofascore.com/api/v1/player/1519971/image
jugador,Miguelete,https://img.sofascore.com/api/v1/player/1084642/image
jugador,Carlos Reina,https://img.sofascore.com/api/v1/player/1493688/image
jugador,Carlos Lumbreras,https://img.sofascore.com/api/v1/player/1525792/image
jugador,Esteban Aparicio,https://img.sofascore.com/api/v1/player/998751/image
