Jugador,Equipo,Temporada,grupo,arquetipo
Borja Mayoral,Getafe,2023-24,Delantero,Físico / Presor
Samu Omorodion,Porto,2023-24,Delantero,Físico / Presor
Willian José,Bahia,2023-24,Delantero,Físico / Presor
Álvaro Morata,Como,2023-24,Delantero,Clásico de Área
Léo Baptistão,Almería,2023-24,Delantero,Físico / Presor
C. Larin,Southampton,2023-24,Delantero,Asociativo / Falso 9
Vinícius Júnior,Real Madrid,2023-24,Delantero,Móvil / Espacios
Jaime Mata,Racing Santander,2023-24,Delantero,Asociativo / Falso 9
Sandro Ramírez,Las Palmas,2023-24,Delantero,Asociativo / Falso 9
Joselu,Al Gharafa,2023-24,Delantero,Clásico de Área
Sergio Camello,Rayo Vallecano,2023-24,Delantero,Asociativo / Falso 9
Juanmi Latasa,Real Valladolid,2023-24,Delantero,Físico / Presor
Á. Correa,Tigres UANL,2023-24,Delantero,Móvil / Espacios
Kike García,Espanyol,2023-24,Delantero,Físico / Presor
Raul García,Osasuna,2023-24,Delantero,Físico / Presor
Roger Martí,Cádiz,2023-24,Delantero,Asociativo / Falso 9
Abdón Prats,Mallorca,2023-24,Delantero,Físico / Presor
Raúl de Tomás,Al Wakrah,2023-24,Delantero,Asociativo / Falso 9
Ferrán Torres,Barcelona,2023-24,Delantero,Móvil / Espacios
M. Gómez,Nacional,2023-24,Delantero,Asociativo / Falso 9
U. Sadiq,Valencia,2023-24,Delantero,Asociativo / Falso 9
José Luis Morales,Levante,2023-24,Delantero,Físico / Presor
Isaac Romero,Sevilla,2023-24,Delantero,Móvil / Espacios
A. Douvikas,Como,2023-24,Delantero,Físico / Presor
José Arnáiz,Granada,2023-24,Delantero,Asociativo / Falso 9
André Almeida,Valencia,2023-24,Delantero,Asociativo / Falso 9
Gonçalo Guedes,Real Sociedad,2023-24,Delantero,Asociativo / Falso 9
R. Yaremchuk,Olympique Lyonnais,2023-24,Delantero,Físico / Presor
L. Suárez,Sporting CP,2023-24,Delantero,Físico / Presor
M. Depay,Corinthians,2023-24,Delantero,Móvil / Espacios
A. Lozano,Santos Laguna,2023-24,Delantero,Físico / Presor
C. Stuani,Girona,2023-24,Delantero,Clásico de Área
Juanmi,Getafe,2023-24,Delantero,Físico / Presor
Javi Puado,Espanyol,2024-25,Delantero,Asociativo / Falso 9
A. Budimir,Osasuna,2024-25,Delantero,Clásico de Área
K. Mbappé,Real Madrid,2024-25,Delantero,Móvil / Espacios
R. Lewandowski,Barcelona,2024-25,Delantero,Clásico de Área
Kike García,Espanyol,2024-25,Delantero,Físico / Presor
J. Álvarez,Atlético Madrid,2024-25,Delantero,Móvil / Espacios
C. Uche,Crystal Palace,2024-25,Delantero,Asociativo / Falso 9
A. Griezmann,Atlético Madrid,2024-25,Delantero,Móvil / Espacios
T. Barry,Everton,2024-25,Delantero,Físico / Presor
Vinícius Júnior,Real Madrid,2024-25,Delantero,Móvil / Espacios
Mikel Oyarzabal,Real Sociedad,2024-25,Delantero,Físico / Presor
Hugo Duro,Valencia,2024-25,Delantero,Físico / Presor
Isaac Romero,Sevilla,2024-25,Delantero,Asociativo / Falso 9
Dani Rodríguez,Leganés,2024-25,Delantero,Asociativo / Falso 9
V. Muriqi,Mallorca,2024-25,Delantero,Físico / Presor
Ayoze Pérez,Villarreal,2024-25,Delantero,Clásico de Área
Borja Iglesias,Celta de Vigo,2024-25,Delantero,Físico / Presor
O. McBurnie,Hull City,2024-25,Delantero,Asociativo / Falso 9
Dani Raba,Valencia,2024-25,Delantero,Móvil / Espacios
Fábio Silva,Borussia Dortmund,2024-25,Delantero,Físico / Presor
Gorka Guruzeta,Athletic Club,2024-25,Delantero,Físico / Presor
Miguel de la Fuente,Almería,2024-25,Delantero,Asociativo / Falso 9
C. Larin,Southampton,2024-25,Delantero,Físico / Presor
M. Sylla,Al Riyadh,2024-25,Delantero,Físico / Presor
A. Sørloth,Atlético Madrid,2024-25,Delantero,Clásico de Área
A. Danjuma,Valencia,2024-25,Delantero,Móvil / Espacios
N. Pépé,Villarreal,2024-25,Delantero,Móvil / Espacios
Roberto Fernández,Espanyol,2024-25,Delantero,Físico / Presor
Juanmi Latasa,Real Valladolid,2024-25,Delantero,Físico / Presor
Pablo Durán,Celta de Vigo,2024-25,Delantero,Asociativo / Falso 9
Abel Ruiz,Girona,2024-25,Delantero,Físico / Presor
Vitor Roque,Palmeiras,2024-25,Delantero,Físico / Presor
Diego García,Leganés,2024-25,Delantero,Físico / Presor
Marcos André,Real Valladolid,2024-25,Delantero,Asociativo / Falso 9
A. Véliz,Rosario Central,2024-25,Delantero,Asociativo / Falso 9
Borja Mayoral,Getafe,2024-25,Delantero,Físico / Presor
Sergio Camello,Rayo Vallecano,2024-25,Delantero,Asociativo / Falso 9
Ferrán Torres,Barcelona,2024-25,Delantero,Móvil / Espacios
R. Nteka,Rayo Vallecano,2024-25,Delantero,Físico / Presor
C. Stuani,Girona,2024-25,Delantero,Clásico de Área
C. Hernández,Real Betis,2024-25,Delantero,Físico / Presor
B. Yıldırım,İstanbul Başakşehir,2024-25,Delantero,Físico / Presor
U. Sadiq,Valencia,2024-25,Delantero,Físico / Presor
Toni Martínez,Deportivo Alavés,2024-25,Delantero,Físico / Presor
Juanmi,Getafe,2024-25,Delantero,Asociativo / Falso 9
O. Óskarsson,Real Sociedad,2024-25,Delantero,Físico / Presor
Munir El Haddadi,Esteghlal,2024-25,Delantero,Físico / Presor
Álvaro Rodríguez,Elche,2024-25,Delantero,Físico / Presor
Á. Correa,Tigres UANL,2024-25,Delantero,Móvil / Espacios
B. Miovski,Rangers,2024-25,Delantero,Asociativo / Falso 9
Raul García,Osasuna,2024-25,Delantero,Físico / Presor
Portu,Girona,2024-25,Delantero,Asociativo / Falso 9
A. Griezmann,Atlético Madrid,2025-26,Delantero,Móvil / Espacios
A. Sørloth,Atlético Madrid,2025-26,Delantero,Clásico de Área
Isaac Romero,Sevilla,2025-26,Delantero,Asociativo / Falso 9
Gorka Guruzeta,Athletic Club,2025-26,Delantero,Físico / Presor
L. Beltrán,Valencia,2025-26,Delantero,Asociativo / Falso 9
Hugo Duro,Valencia,2025-26,Delantero,Físico / Presor
R. Lewandowski,Barcelona,2025-26,Delantero,Clásico de Área
L. Sučić,Real Sociedad,2025-26,Delantero,Asociativo / Falso 9
Borja Mayoral,Getafe,2025-26,Delantero,Físico / Presor
C. Hernández,Real Betis,2025-26,Delantero,Asociativo / Falso 9
N. Maupay,Sevilla,2025-26,Delantero,Asociativo / Falso 9
V. Muriqi,Mallorca,2025-26,Delantero,Clásico de Área
Gerard Moreno,Villarreal,2025-26,Delantero,Clásico de Área
A. Adams,Sevilla,2025-26,Delantero,Físico / Presor
U. Sadiq,Valencia,2025-26,Delantero,Asociativo / Falso 9
Ferrán Jutglà,Celta de Vigo,2025-26,Delantero,Móvil / Espacios
L. Boyé,Deportivo Alavés,2025-26,Delantero,Físico / Presor
Ayoze Pérez,Villarreal,2025-26,Delantero,Asociativo / Falso 9
M. Satriano,Getafe,2025-26,Delantero,Físico / Presor
André Silva,Elche,2025-26,Delantero,Físico / Presor
Toni Martínez,Deportivo Alavés,2025-26,Delantero,Físico / Presor
A. Budimir,Osasuna,2025-26,Delantero,Físico / Presor
Borja Iglesias,Celta de Vigo,2025-26,Delantero,Clásico de Área
O. Óskarsson,Real Sociedad,2025-26,Delantero,Clásico de Área
L. Vázquez,Getafe,2025-26,Delantero,Asociativo / Falso 9
F. Viñas,Real Oviedo,2025-26,Delantero,Físico / Presor
Jorge de Frutos,Rayo Vallecano,2025-26,Delantero,Asociativo / Falso 9
Jon Guridi,Deportivo Alavés,2025-26,Delantero,Asociativo / Falso 9
Raul García,Osasuna,2025-26,Delantero,Físico / Presor
Sergio Camello,Rayo Vallecano,2025-26,Delantero,Móvil / Espacios
Rafa Mir,Elche,2025-26,Delantero,Físico / Presor
A. Sánchez,Sevilla,2025-26,Delantero,Asociativo / Falso 9
Alemão,Rayo Vallecano,2025-26,Delantero,Físico / Presor
Mateo Joseph,Mallorca,2025-26,Delantero,Asociativo / Falso 9
S. Rondón,Pachuca,2025-26,Delantero,Asociativo / Falso 9
Kike García,Espanyol,2025-26,Delantero,Físico / Presor
Iván Romero,Levante,2025-26,Delantero,Asociativo / Falso 9
Roberto Fernández,Espanyol,2025-26,Delantero,Asociativo / Falso 9
V. Vanat,Girona,2025-26,Delantero,Físico / Presor
Álvaro Rodríguez,Elche,2025-26,Delantero,Asociativo / Falso 9
J. Álvarez,Atlético Madrid,2025-26,Delantero,Móvil / Espacios
Vinícius Júnior,Real Madrid,2025-26,Delantero,Móvil / Espacios
Gonzalo García,Real Madrid,2025-26,Delantero,Físico / Presor
K. Mbappé,Real Madrid,2025-26,Delantero,Móvil / Espacios
Pablo Durán,Celta de Vigo,2025-26,Delantero,Asociativo / Falso 9
Ferrán Torres,Barcelona,2025-26,Delantero,Clásico de Área
Mikel Oyarzabal,Real Sociedad,2025-26,Delantero,Móvil / Espacios
T. Oluwaseyi,Villarreal,2025-26,Delantero,Asociativo / Falso 9
G. Mikautadze,Villarreal,2025-26,Delantero,Móvil / Espacios
Adrián Liso,Getafe,2025-26,Delantero,Asociativo / Falso 9
Carlos Espí,Levante,2025-26,Delantero,Clásico de Área
E. Eyong,Levante,2025-26,Delantero,Físico / Presor
